"ENTREZID"	"SYMBOL"	"GENENAME"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"First Trimester Average"	"Second Trimester Average"
"1000"	"CDH2"	"cadherin 2"	-0.356309404807519	4.42819358007616	-3.75292037014876	0.00106815562881881	0.0113665447455346	-1.00374482668285	4.57395651840651	4.21764711359899
"100038246"	"TLX1NB"	"TLX1 neighbor"	-0.183647589476799	3.70893588876604	-2.97383489805432	0.00690045693957274	0.0399238947394526	-2.76849597078784	3.78406444809746	3.60041685862066
"10006"	"ABI1"	"abl interactor 1"	0.300423149867463	7.56450752261169	3.31347384615911	0.00309468564676181	0.0233437922148329	-2.01524080535538	7.44160714312045	7.74203029298792
"10008"	"KCNE3"	"potassium voltage-gated channel subfamily E regulatory subunit 3"	0.38047644652567	4.8922875826926	4.03414248486578	0.000535724198997908	0.00709431895156641	-0.342287982408053	4.73663812729573	5.1171145738214
"10010"	"TANK"	"TRAF family member associated NFKB activator"	0.355450445235824	7.57983412531163	5.65391908692763	1.01497360196406e-05	0.000520617218971993	3.49680092201164	7.43442257953334	7.78987302476916
"100128334"	"LOC100128334"	"gap junction protein gamma 3 pseudogene"	-0.230148119405084	4.53147486980696	-3.01613690964527	0.00625242287693741	0.037291828057	-2.67640216274432	4.62562637319995	4.39547825379487
"100128731"	"OST4"	"oligosaccharyltransferase complex subunit 4, non-catalytic"	-0.399444834082804	9.57000283794718	-4.25019938850087	0.00031450813380912	0.00499009557132385	0.170307545728923	9.73341208825378	9.33396725417098
"100128927"	"ZBTB42"	"zinc finger and BTB domain containing 42"	0.168302018278562	3.70065359726568	3.32339491795372	0.00302209627852706	0.0229328437075793	-1.99280661284881	3.63180277160626	3.80010478988483
"100128988"	"LOC100128988"	"uncharacterized LOC100128988"	0.736061145440806	5.79673672302996	3.65745075269993	0.00134833999594702	0.0132615129407197	-1.22619385615597	5.49562079989509	6.23168194533589
"100129034"	"LOC100129034"	"uncharacterized LOC100129034"	-0.12854635582547	4.52199378249388	-2.92281627940492	0.00776780150904086	0.0431187469519663	-2.87883359742873	4.57458092805885	4.44603457223338
"100129726"	"LINC01126"	"long intergenic non-protein coding RNA 1126"	-0.267740568283082	3.42309468923286	-3.43214285852639	0.00232752852316964	0.0192324858923083	-1.74553003321264	3.5326249217123	3.26488435342922
"100129794"	"SLC25A21-AS1"	"SLC25A21 antisense RNA 1"	-0.228124567611533	2.72621377438201	-5.02520616252242	4.66362470610993e-05	0.00143601368040264	2.01664837808706	2.81953746113218	2.59141289352065
"100130335"	"NAP1L1P3"	"nucleosome assembly protein 1 like 1 pseudogene 3"	-0.450258121102431	10.5312769699875	-4.18624018958338	0.000368266140056036	0.00554439457682245	0.0182801194696509	10.7154734740749	10.2652153529724
"100130683"	"LOC100130683"	"chromatin assembly factor 1 subunit B pseudogene"	-0.149616688667396	3.26331039622026	-3.19646663095886	0.00408937972098025	0.0279254878755581	-2.27811403507932	3.32451722340238	3.17490053473498
"100130733"	"LRRC70"	"leucine rich repeat containing 70"	0.492094123711147	3.88106308888501	4.09602055875785	0.000459999420380472	0.00638359469611557	-0.195783176891101	3.67975185645773	4.17184598016887
"100130872"	"LOC100130872"	"uncharacterized LOC100130872"	-0.25307022557937	4.70057635928762	-3.61619182913508	0.00149074398723726	0.0142069444616247	-1.3219243089222	4.80410508793373	4.55103486235436
